INFO 2024-11-01 15:30:59,613 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-01 15:31:00,008 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1729734846.7217238
DEBUG 2024-11-01 15:31:00,008 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\idna\package_data.py first seen with mtime 1729734844.6292503
DEBUG 2024-11-01 15:31:00,008 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\DLLs\_zoneinfo.pyd first seen with mtime 1729644003.9924407
DEBUG 2024-11-01 15:31:00,008 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1729734846.7655325
DEBUG 2024-11-01 15:31:00,008 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\importlib\resources\_common.py first seen with mtime 1729644004.7252662
DEBUG 2024-11-01 15:31:00,008 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1729734844.3955975
DEBUG 2024-11-01 15:31:00,009 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\mimetypes.py first seen with mtime 1729644004.8435495
DEBUG 2024-11-01 15:31:00,009 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1729734846.5210752
DEBUG 2024-11-01 15:31:00,009 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1729734846.8536282
DEBUG 2024-11-01 15:31:00,009 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\importlib\readers.py first seen with mtime 1729644004.7216375
DEBUG 2024-11-01 15:31:00,010 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\backend\backend_project\log_importer\apps.py first seen with mtime 1729738288.3421648
DEBUG 2024-11-01 15:31:00,010 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\ctypes\wintypes.py first seen with mtime 1729644004.1758306
DEBUG 2024-11-01 15:31:00,010 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\sqlite3\dbapi2.py first seen with mtime 1729644005.6724896
DEBUG 2024-11-01 15:31:00,010 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\forms\fields.py first seen with mtime 1729734846.7931113
DEBUG 2024-11-01 15:31:00,011 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1729734846.7741752
DEBUG 2024-11-01 15:31:00,011 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\requests\adapters.py first seen with mtime 1730072884.310396
DEBUG 2024-11-01 15:31:00,011 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\urllib3\_base_connection.py first seen with mtime 1730072883.7816608
DEBUG 2024-11-01 15:31:00,012 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1252.py first seen with mtime 1729644004.2544062
DEBUG 2024-11-01 15:31:00,012 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\urllib3\http2\__init__.py first seen with mtime 1730072883.7928162
DEBUG 2024-11-01 15:31:00,012 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1729734846.5200644
DEBUG 2024-11-01 15:31:00,012 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\models\enums.py first seen with mtime 1729734846.777768
DEBUG 2024-11-01 15:31:00,013 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1729734846.8323014
DEBUG 2024-11-01 15:31:00,013 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1729734846.773172
DEBUG 2024-11-01 15:31:00,013 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1729734846.720205
DEBUG 2024-11-01 15:31:00,013 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\hmac.py first seen with mtime 1729644004.4300027
DEBUG 2024-11-01 15:31:00,013 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1729734845.8980753
DEBUG 2024-11-01 15:31:00,014 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1729734846.7069976
DEBUG 2024-11-01 15:31:00,014 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1729734846.7655325
DEBUG 2024-11-01 15:31:00,014 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\graphlib.py first seen with mtime 1729644004.426927
DEBUG 2024-11-01 15:31:00,014 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\hashlib.py first seen with mtime 1729644004.427937
DEBUG 2024-11-01 15:31:00,014 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\pprint.py first seen with mtime 1729644004.9110518
DEBUG 2024-11-01 15:31:00,015 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1729734846.7410989
DEBUG 2024-11-01 15:31:00,015 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1729734846.7670925
DEBUG 2024-11-01 15:31:00,016 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\email\utils.py first seen with mtime 1729644004.2279346
DEBUG 2024-11-01 15:31:00,016 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1729734846.8348174
DEBUG 2024-11-01 15:31:00,017 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1729734846.8378782
DEBUG 2024-11-01 15:31:00,017 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\views\__init__.py first seen with mtime 1729734846.8638902
DEBUG 2024-11-01 15:31:00,017 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1730072883.7826753
DEBUG 2024-11-01 15:31:00,018 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1729734845.261876
DEBUG 2024-11-01 15:31:00,018 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\linecache.py first seen with mtime 1729644004.8307598
DEBUG 2024-11-01 15:31:00,018 autoreload File C:\Users\kevin\Desktop\GitHub\collectionlog-calculator\.venv\Lib\site-packages\colorama\win32.py first seen with mtime 1729734844.952593
